CRITICAL - 2023-10-02 20:31:59 - 85521 - Server up  - __main__ - 11
INFO - 2023-10-02 20:35:04 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:04 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:04 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:04 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:04 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:04 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:04 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:04 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:05 - 85521 - added correct for question with 1 for user 697676633 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - get unanswered question with id 3 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:07 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:07 - 85521 - retrieve stats for user 697676633 from db  - core.DataBase.DataBase - 117
INFO - 2023-10-02 20:35:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:11 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:11 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:11 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:11 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:11 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:13 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:13 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:13 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:13 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:13 - 85521 - retrieve stats for user 183249817 from db  - core.DataBase.DataBase - 117
INFO - 2023-10-02 20:35:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:36 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:35:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:36 - 85521 - checked for updates for user 697676633 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:35:36 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:36 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:35:38 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:35:38 - 85521 - new user added to db  - core.DataBase.DataBase - 38
